code,product_name,brands,greenwash_label,clip_score,ecs
31493060653,Organic Whole Grain Wheat English Muffins,Rudi's Organic Bakery,Low,0.5015,0.5
13562002603,"Organic Chewy Granola Bars, Chocolate Chip",Annie's,Low,0.4831,0.625
41000008641,"Sugar Sweetened Iced Tea Mix, Lemon Natural Flavor","Lipton,  Unilever",Medium,0.4938,0.0
14821195555,Sugar Free Angel Food Cake,Hill & Valley,High,0.4866,0.0
25317323000,"Organics, Chicken Sausage, Chicken & Apple",Applegate,Low,0.4992,0.125
460938714,100% Soja Protein Haselnuss,allfitnessfactory.de,Low,0.4792,0.25
21908455594,"Organic Whole Grain Oat And Barley Cereal, Honey Nut O's","Cascadian Farm,  Small Planet Foods  Inc.",Medium,0.4861,0.625
36800046252,Organic Black Beans,Full Circle,Low,0.5017,0.875
39217023021,Organic Multigrain With Flax Seeds Bread,Papa's,Low,0.5018,0.5
36200223024,"Olive oil, basil and garlic tomato sauce ",Bertolli,Low,0.4865,0.375
23923202092,"Organic Letter Of The Day Cookies, Very Vanilla","Earth's Best,  Seasame Workshop",Medium,0.4857,0.5
22506003873,Organic Mayonnaise With Extra Virgin Olive Oil,Spectrum Naturals,Low,0.5054,0.75
22506677890,Organic Ground Premium Flaxseed Dietary Supplement,Spectrum,Low,0.5025,1.0
21908455525,Organic Hearty Morning Fiber Cereal,"Cascadian Farm,  Small Planet Foods  Inc.",Medium,0.5019,0.625
30568115298,"Ginger Chews, Organic Chewy Candies",Goorganic,Low,0.4894,0.75
31142526752,All Natural Romano Cheese,Belgioioso,Low,0.5022,0.625
12000012730,"Diet Iced Tea, Lemon Flavor With Other Natural Flavors","Lipton,  Unilever",Medium,0.4904,0.0
37600132831,"Natural Choice, Deli Roast Beef",Hormel,Low,0.5037,0.625
23923206038,"Organic, Organic Mini Waffles","Earth's Best,  Earth's Best Organic",Low,0.4854,0.5
41196138634,Organic Chicken Noodle Soup,Annie's,Low,0.485,0.625
39047001312,Pure Butter Shortbread Triangles,Walkers,Low,0.4793,0.25
22506165052,Organic Toasted Sesame Oil,Spectrum,Low,0.5137,0.75
41000119767,"Sugar Sweetened Iced Tea Mix, Raspberry Flavor With Other Natural Flavor","Lipton,  Unilever",Medium,0.4845,0.0
35826076410,100 % pure Maple syrup,"Food Lion,  Food Town Stores Inc.",Low,0.4877,0.875
36800389700,Organic Sweet Thai Chili Sauce,Full Circle,Low,0.5024,0.25
20735112021,"All Natural Ice Cream, Belgium Style Chocolate",Turkey Hill,Low,0.4998,1.0
21718412169,"Natural Fine Sea Salt Infused With Organic, Fresh Herbs And Veegetbales",Bioforce Production,Medium,0.4987,0.625
19521550079,Organic Extra Virgin Olive Oil,Carapelli,Low,0.5027,0.875
39047017689,Pure Butter MINI CHOC CHIP SHORTBREAD ROUNDS,Walkers,Low,0.4845,0.0
23547400218,Organic Mellow White Miso,American Miso Company,Low,0.4733,0.75
41253001857,Organic Balsamic Vinegar Of Modena,"Napoleon,  The Napoleon Co.",Low,0.4947,0.75
25317006958,"Naturals, Chicken & Apple Breakfast Sausage",Applegate,Low,0.4987,0.5
11110849397,Organic Pinto Beans,Simple Truth Organic,Low,0.5032,0.875
12005000589,"1-2-3, Pure Corn Oil",Fabrica De Jabon La Corona Sa,Medium,0.4872,0.625
36800079427,Organic Caesar Dressing,"Full Circle,  Topco Associates  Inc.",Low,0.4747,0.5
34500140089,"Margarine, Pure And Creamy","Land O Lakes,  Land O' Lakes  Inc",Medium,0.4941,0.0
290906,Organic Creamy Tomato Soup,Trader Joe's,Low,0.4927,0.625
36800151246,Organic Animal Cookies,"Full Circle,  Topco",Low,0.5005,0.625
33776100803,Natural peanut butter and flaxseed,earth balance,Low,0.5056,0.625
39047018167,Pure Butter Festive Stars Mini Shortbread,Walkers,Low,0.4804,0.75
21130048816,Natural Mild Shredded Cheddar Cheese,"Lucerne,  Safeway  Inc.",Low,0.4788,0.25
41000022517,Fettuccini In A Delicate Butter Flavored & Herb Sauce With Other Natural Flavor,Unilever,Medium,0.4894,0.0
23923330030,Organic Butternut Squash Pear,,Low,0.4973,0.75
36800422667,"Organic Hummus, Garlic","Full Circle Market,  Topco Associates  Inc.",Low,0.5067,0.75
11110415646,Reduce Fat Milk,The Kroger Co.,Low,0.4837,0.125
41220973569,"Organics, Cheese Ravioli In Tomato Sauce",H-E-B,Low,0.489,0.25
12000029110,"Diet Green Tea, Mixed Berry Flavor With Other Natural Flavors","Lipton,  Unilever",High,0.4886,0.0
41390061400,"Pearl, Organic Soymilk, Vanila","Kikkoman,  Kikkoman Sales Usa  Inc.",Medium,0.4907,0.75
11686,All Butter Sultana Cookies,Marks & Spencer,Medium,0.4679,0.25
28189121415,Organic Nacho Sliced Jalapenos,Hatch,Low,0.4841,0.75
37600105064,Natural creamy peanut butter,"Skippy,  Hormel Foods  Llc",Low,0.4786,0.75
39217023069,"Papa's, Organic Whole Wheat With Honey Bread",Maxim's Nutricare Inc.,Low,0.4926,0.5
23923900011,Organic Whole Grain Rice Cereal,"Earths Best, Earth's Best",Medium,0.4964,0.25
13609020492,Vegan Midnight Chocolate,Just Desserts,Low,0.4931,0.5
36800422643,"Organic Hummus, Original","Full Circle Market,  Topco Associates Llc",Low,0.5004,0.375
23923330023,"Oeganic Baby Food Puree, Sweet Potato Apple",Earth's Best,Low,0.4791,1.0
21718412787,Natural Fine Sea Salt Infused With Organic Herbs And Vegetables,Bioforce Production,Medium,0.5044,0.75
41000022531,Fettuccini In A Creamy Parmesan & Romano Cheese Flavored Sauce With Other Natural Flavor,Unilever,Medium,0.4842,0.0
37600735803,"Natural Choice, Uncured Hard Salami","Hormel,  Hormel Foods Corporation",Medium,0.5025,0.75
25317006941,Organic American Cheese,Applegate Farms  Llc,Low,0.503,0.5
39400017318,Organic Kidney Beans,Bush's Best,Low,0.4755,0.625
41000731488,"Iced Tea, Sugar Sweetened Iced Tea Mix, Lemon Natural Flavor","Lipton,  Unilever",Medium,0.4803,0.0
41449403267,"Blueberry Muffin Mix, Natural Blueberry Flavor",Krusteaz,Medium,0.4879,0.0
41331049900,Sugar Free Maria Cookies,Goya,Low,0.4784,0.0
31493061452,Organic White English Muffins,Rudi's Organic Bakery,Low,0.493,0.625
41415107083,"Greenwise, Organic Roasted Garlic Sauce","Publix,  Publix Super Markets  Inc.",Medium,0.5052,0.625
2983542515,100% Soja Protein Neutral,allfitnessfactory.de,Low,0.4778,0.875
16571952105,"Naturally Flavored Sparkling Water, Black Cherry",Sparkling Ice,Medium,0.484,0.0
25583004115,Vegan Savory Gravy,"Tofurky,  Turtle Island Foods  Inc.",Low,0.4997,0.0
12000012792,"Diet Green Tea, Citrus Flavor With Other Natural Flavors","Lipton,  Unilever",High,0.4928,0.0
11110786715,Natural Applesauce,Kroger,Low,0.4829,0.875
25317005890,"Naturals Breakfast Sausage Patties, Chicken & Apple",Applegate,Low,0.5011,0.5
34700012193,All Natural Cut Italian Green Beans,Allens,Medium,0.4817,1.0
24126013249,"Healthy Life, Wheat Hot Dog Buns",Lewis Bakeries  Inc.,Medium,0.4827,0.0
22506421370,Organic Extra Virgin Olive Oil,"Spectrum,  The Hain Celestial Group  Inc.",Low,0.4696,0.75
22506002487,"Naturals, Organic Distilled White Vinegar","Spectrum,  Spectrum Naturals",Medium,0.5063,0.75
39631000417,"Edward & Sons, Unsalted Plain Organic Brown Rice Snaps",Edward & Sons Trading Company Co.  Inc.,Low,0.4955,1.0
21908407739,"Organic Granola Cereal, Fruit And Nut","Cascadian Farm,  Small Planet Foods  Inc.",Medium,0.5123,0.625
15532100968,Organic Extra Virgin Olive Oil,Montebello,Low,0.5107,0.875
23923100442,"Organic, Infant Formula With Iron Milk-Based Powder","Earth's Best,  Earth's Best Organic",Medium,0.4941,0.5
41000022661,Rice & Pasta Blend In A Savory Chicken Flavored Sauce With Other Natural Flavor,Unilever,Medium,0.4762,0.0
24182002225,"Organic, Lunderg, Brown Rice & Kidney Beans","Eden,  Eden Organic",Low,0.5066,0.625
25293600737,Vanilla Silk,Silk,Low,0.4797,0.875
21908455518,Organic Raisin Bran,"Cascadian Farm,  Small Planet Foods  Inc.",Low,0.4784,1.0
23923900028,Organic Whole Grain Multi-Grain Cereal,Earth's Best,Medium,0.4768,0.25
41000022982,Fettuccini In A Creamy Chicken Flavored Sauce With Other Natural Flavor,Unilever,Medium,0.484,0.0
25317005500,Organic Chicken Strips,Applegate,Low,0.4883,0.625
409780,Trader Joe's: Chocolately Coated Chocolate Chip Dunkers,Trader's Joe,Low,0.4934,0.0
13562001262,"Bernie's Farms, Organic Fruit Snacks, Natural Strawberry, Raspberry & Orange",Annie's,Medium,0.4925,0.625
176828,soda water,by sainsbury's,Low,0.4803,0.25
41387005011,"Totally Light, Green Tea Liquid Water Enhancer, Honey & Natural Lemon","4c,  4c Foods Corp.",High,0.4879,0.5
41220906710,"Natural, Uncured Bacon, Applewood Smoked",H-E-B,Low,0.4912,0.5
16571910372,Pink Grapefruit Naturally Flavored Sparkling Mountain Spring Water,Talkingrain Beverage Company,Medium,0.4912,0.0
13971000214,Simply Cinnamon Cruncy Apple Chips,bare,Low,0.4825,1.0
41000119217,"Low Calorie Diet Iced Tea Mix, Peach Flavor With Other Natural Flavor","Lipton,  Unilever",Medium,0.4838,0.0
22506002401,"Naturals, Organic Mayonnaise Made With Cage Free Eggs",Spectrum,Medium,0.4958,1.0
23923200135,Organic Apples & Apricots,Earth's Best,Low,0.5058,0.75
24000507857,"Fruit Naturals, Red Grapefruit",Del Monte,Medium,0.4828,0.125
41420212949,Organic Gummy Bears,"Black Forest,  Ferrara Candy Company",Low,0.4821,0.5
35826541437,Natural Sharp Cheddar Cheese,"Food Lion,  Food Town Stores Inc.",Low,0.4792,0.875
41497096282,100% Pure Orange Juice,Weis,Low,0.4912,0.875
36800383142,Organic Ground Beef,"Full Circle Market,  Topco Associates Llc",Low,0.5124,1.0
11110913425,Organic Tofu Extra Firm,Simple Truth Organic,Low,0.4924,0.25
12511891671,Organic Honey,Wholesome Sweeteners  Inc.,Low,0.4844,0.375
16741431119,"Benevolent Bacon, Vegan Bacon, Hickory & Sage",Sweet Earth Natural Foods,Low,0.494,0.0
24182000702,Organic Tart Cherry Juice,"Eden,  Eden Foods  Inc.",Low,0.4871,0.875
